Arithmetic,Unconditional,Conditional,Data
adpcm,57.23180899547526,2.5451217331234024,35.57857861719027,4.6444906542110695
binary_search,49.838691483361536,2.3936830231246478,36.182741116751274,11.584884376762549
bit_manipulation,60.19486255542825,0.5422566623227826,14.83771657468711,24.425164207561856
blowfish,74.68136759053206,0.40930897950926276,3.6563249617063094,21.25299846825236
bubble,15.213928401755023,0.1760612581393399,28.33188944470838,56.27812089539725
compress,18.175393234216763,1.3445378151260505,8.605903900021547,71.87416505063564
counts,48.730665250028196,4.540641635344159,36.5125223320683,10.216170782559338
crc,70.88148561409102,0.2430859966525863,17.62174224914322,11.253686140113174
edn,60.982475655211445,1.5798499307222449,33.48823253907851,3.9494418749878033
expint,33.11109660006095,16.223934526141655,27.042357755430764,23.622611118366635
factorial,31.874447391688772,1.348364279398762,31.786030061892127,34.99115826702033
fdct,76.02878686747864,0.08624164843806792,4.275074511462539,19.609896972620756
fibonacci,28.7866994143208,0.04609862081995088,14.387303986397129,56.779897978462124
hanoi,15.57065570926753,11.117676395333708,8.891322260288824,64.42034563510994
harm,35.67100921036276,9.647824918903098,34.36503831302402,20.31612755771012
insert_sort,15.248179019298641,13.60666816850642,28.664113539085378,42.48103927310956
jfdct_int,80.02438689652989,0.23489543194366733,5.408401338640035,14.332316332886416
matrix_mult,57.421829967501814,2.8111588295983037,32.611718901628414,7.155292301271471
mdc,33.94846444280098,9.465182359581176,34.28827215756491,22.298081040052935
peakspeed,11.41304347826087,1.1619190404797601,10.082458770614693,77.34257871064469
petri_net,0.1638280794731113,10.511385501764725,34.406095723977174,54.918690694784985
prime,51.977668822186196,3.460891180649344,38.21144599927038,6.34999399789408
switch_cases,49.11721813985756,0.935876198162228,48.617423437964575,1.329482224015631
test_app,51.70108436120526,3.599007652258989,38.03417310178553,6.665734884750224
ud,43.84180323553523,6.912553305104504,23.152653785696558,26.09298967366371
usqrt,77.5613265999547,0.614265346640195,18.438620101533665,3.385787951871444
